age,sex,job,housing,years,saving_account,checking_account,credit_amount,duration,purpose,risk
20,male,2,own,1.0,moderate,little,674,12.0,radio/TV,0.0
23,female,1,rent,2.0,little,little,3234,24.0,furniture/equipment,0.0
54,female,0,own,0.5,little,little,672,6.0,car,1.0
20,female,2,rent,1.0,little,little,1282,12.0,furniture/equipment,0.0
22,male,2,own,1.5,little,little,2462,18.0,furniture/equipment,0.0
29,female,3,own,1.0,little,little,1412,12.0,business,1.0
27,male,2,own,4.0,rich,moderate,10961,48.0,radio/TV,0.0
32,female,1,own,2.0,moderate,little,1282,24.0,radio/TV,0.0
63,male,2,free,0.833333333,little,rich,781,10.0,car,1.0
57,female,1,free,1.0,little,little,2748,12.0,education,1.0
55,male,2,own,1.0,rich,little,1413,12.0,car,1.0
45,male,1,own,1.0,little,little,339,12.0,education,1.0
33,male,1,own,1.0,little,little,2579,12.0,car,0.0
58,female,1,own,2.0,little,little,1755,24.0,vacation/others,1.0
22,female,2,own,1.5,little,little,1808,18.0,furniture/equipment,0.0
29,male,1,own,0.333333333,little,rich,1494,4.0,car,1.0
39,male,3,own,1.5,little,little,6458,18.0,car,0.0
51,male,2,own,0.5,little,little,1595,6.0,radio/TV,1.0
28,female,2,own,0.5,little,little,1382,6.0,radio/TV,1.0
28,female,1,own,0.75,little,rich,745,9.0,radio/TV,0.0
43,male,2,rent,1.333333333,little,little,2625,16.0,car,0.0
26,female,2,own,2.0,little,rich,3749,24.0,furniture/equipment,1.0
33,male,3,own,1.5,little,moderate,4439,18.0,business,1.0
29,female,2,rent,2.0,rich,moderate,7758,24.0,car,1.0
25,female,2,own,3.0,little,little,2394,36.0,radio/TV,1.0
24,male,2,own,0.75,little,moderate,458,9.0,radio/TV,1.0
30,male,2,own,1.5,little,moderate,1056,18.0,car,0.0
57,male,1,own,1.0,little,little,709,12.0,radio/TV,0.0
53,male,2,free,4.0,little,little,7119,48.0,furniture/equipment,0.0
34,male,2,own,3.5,little,little,3965,42.0,radio/TV,0.0
33,male,2,own,0.666666667,little,moderate,1414,8.0,radio/TV,1.0
44,male,2,own,1.0,moderate,moderate,1804,12.0,car,1.0
51,male,2,own,3.0,little,little,3342,36.0,radio/TV,1.0
51,male,2,free,1.5,little,little,7511,18.0,car,0.0
38,male,2,own,2.0,moderate,moderate,1216,24.0,radio/TV,0.0
35,male,2,own,1.0,little,little,691,12.0,car,0.0
45,male,2,own,2.0,little,little,2303,24.0,car,0.0
22,female,2,own,1.0,moderate,little,741,12.0,domestic appliances,0.0
34,female,2,own,2.0,rich,little,1525,24.0,car,1.0
52,male,2,own,0.5,quite rich,little,338,6.0,radio/TV,1.0
36,male,2,own,3.0,little,little,6304,36.0,business,1.0
27,male,3,own,2.25,little,little,3416,27.0,radio/TV,1.0
27,male,1,own,1.166666667,little,little,802,14.0,car,1.0
35,male,3,own,2.75,little,little,7253,33.0,car,1.0
27,male,3,free,0.75,little,little,1422,9.0,car,0.0
45,male,3,own,1.166666667,little,little,8978,14.0,car,0.0
28,male,2,rent,1.0,little,little,6199,12.0,radio/TV,0.0
47,male,2,own,4.0,little,little,3578,48.0,radio/TV,1.0
39,male,2,own,2.5,little,little,2522,30.0,radio/TV,1.0
30,male,3,own,2.25,little,moderate,5965,27.0,car,1.0
64,female,2,own,0.833333333,little,little,1364,10.0,car,1.0
36,male,2,own,3.0,quite rich,little,909,36.0,car,1.0
33,male,2,own,1.5,little,moderate,1245,18.0,radio/TV,0.0
43,male,2,own,2.0,little,moderate,4057,24.0,furniture/equipment,0.0
26,male,2,own,1.5,little,little,1345,18.0,radio/TV,0.0
74,female,3,free,0.75,little,moderate,5129,9.0,car,0.0
19,female,1,rent,1.0,rich,moderate,983,12.0,furniture/equipment,1.0
